dr,name,citsci
dr16005,Patterns of abundance and size of dictyoceratid sponges among neighbouring islands in central Torres Strait (CRC-TS Project: Task Number T1.6a) 2005,N
dr16003,"AIMS Long-term Monitoring Program: Crown-of-thorns starfish and benthos Manta Tow Data, Great Barrier Reef, Australia (1983 - present)",N
dr141,RMT Trawl catch from the 1980/81 V5 FIBEX voyage,N
dr18714,Redmap,Y
dr2296,Christmas Island National Park Robber Crab (Birgus latro) Road Kill Monitoring,N
dr137,Electron Micrograph Database - Marine Specimens,N
dr15844,"Organism occurrence records identified from underwater still imagery collected around Lord Howe Island and Balls Pyramid, southwest Pacific Ocean",N
dr15888,"Classified benthic data for mesophotic organisms and substrates around the Lord Howe Island and Balls Pyramid shelves, southwest Pacific Ocean (2013)",N
dr9918,Australian Seagrass distribution Points Dataset 2005,N
dr932,Carnarvon Basin upland survey,N
dr21987,Victorian Conservation Seed Bank,N
dr4719,Murray-Darling Basin fish monitoring survey,N
dr4731,Murray-Darling Basin waterbird survey,N
dr472,Annotated Atlas of the Vascular Flora of Macquarie Island - 1979,N
dr17837,"WAMSI Node 3.2.1 - Diversity, abundance and habitat utilisation of sharks and rays, Ningaloo Marine Park, Western Australia (2007-2009) - dive data",N
dr23984,The Glenelg-Hopkins Soundscape Project - Frog Calls,Y
dr15934,SIO Marine Bird and Mammal Survey 2003,N
dr5017,Superb Parrot Monitoring project,N
dr136,Inventory of Antarctic seabird breeding sites,N
dr154,Invertebrates compiled by W.Block,Y
dr799,National Parks Association of NSW Great Koala Count,Y
dr7811,Carnarvon Basin Wetland Invertebrate Survey,N
dr16914,"WAMSI Node 3.2.2b - Diversity, abundance and distribution of intertidal invertebrate species in the Ningaloo Marine Park - Small giant clams (Tridacna maxima), Australia (2010)",N
dr23187,"Seagrass and associated benthic community data derived from field surveys at Low Isles, Great Barrier Reef, conducted July-August, 1997.",N
dr7809,Carnarvon Basin (Aquatic Projects) - Invertebrates,N
dr157,"Invertebrate survey, Heard Island 2001",N
dr18278,Gorse biocontrol,N
dr23179,Tracking two rehabilitated green turtles off Eastern Australia using satellite tags (2010 - 2011),N
dr21370,Entangled Wildlife Australia,Y
dr1030,Bush Heritage - Carnarvon Station Reserve,N
dr952,Fire in Gimlet Woodlands,N
dr18780,"eDNA metabarcoding survey of Cocos (Keeling) Islands, Indian Ocean (2017)",N
dr13540,Feral or in Peril,Y
dr15920,"National Waterbirds Survey, Northern Territory, Australia (2008)",N
dr17910,Ginninderra Catchment - Upper Murrumbidgee Waterwatch,Y
dr15899,"Habitat and fisheries production in the south east fishery ecosystem - Zooplankton records from three Southern Surveyor voyages, shelf waters, South East Australia (1994-1996)",N
dr16258,Ice core meiofauna during the SIPEX and SIPEX II voyages,N
dr16219,"Diet results from Adelie penguins at Bechervaise Island and Whitney Point, 2012/13",N
dr3368,Waterbug Census,Y
dr16230,RMT Trawl catch from the 1984/85 V5 SIBEX2 voyage,N
dr15902,Historic whale catch data from New Zealand whaling stations (1948-1964),N
dr19819,Jewel Bulk Samples Collection,N
dr2592,Logan City Council Species Sightings,N
dr23142,Collation of spatial seagrass data from 1984 - 2014 for the Great Barrier Reef World Heritage Area - Meadow boundaries,N
dr18776,Seabird observations in Australian waters and the Southern Ocean from voyages of the fisheries patrol vessel Oceanic Viking (2005-2007),Composite
dr6248,Westmead Mycology Culture Collection,N
dr14002,Northern Territory WildWatch,Y
dr15528,New South Wales Plant Pathology and Mycology Herbarium  AVH data,N
dr4701,Koala Quest 2015,Y
dr7441,"CSIRO, Cruise SS200702, Marine Biodiversity Survey, Southeast Australia, 2007",N
dr835,Records of the Wine Microorganism Culture Collection,N
dr7973,cPlatypus,Y
dr23125,Tracking Red-necked stints (Calidris ruficollis) and Curlew sandpipers (Calidris ferruginea)  along the  East Asian-Australasian Flyway (EAAF),N
dr15891,"Dynamics of a coral reef community, Taiwan (2003 -2014)",N
dr14188,North Coast - NSW Waterwatch,Y
dr93,National Whale and Dolphin Sightings and Strandings Database,N
dr731,Records of the Western Australian Mycology Culture Collection,N
dr691,Plants of Scotia Sanctuary ,Composite
dr16999,MangroveWatch,Y
dr469,Nudibranchs of the Sunshine Coast Australia,Y
dr15900,"Habitat associations of cetaceans and seabirds in the tropical eastern Indian Ocean, Browse Basin, Australia (2008)",N
dr16007,"WAMSI 2 Dredging Science Node: Theme 5  Project 5.3 - Natural Dynamics  and 5.4 Recovery mechanisms, Pilbara, Australia (2013-2015)",N
dr7459,"CSIRO, Jack Mackerel (Trachurus declivis) surveys, Tasman Sea, Australia (1978)",N
dr19064,Redlands Coast Koala Watch,Y
dr22012,Northern Rivers 2022 Flood Assessments,N
dr354,Barrow Island Ants,N
dr22131,Brisbane Botanic Gardens,N
dr23139,"Pilbara macrophyte biomass and environmental drivers, Australia (2013-2014)",N
dr15917,"NT Alligator Rivers Region Billabongs Bird Count, Northern Territory, Australia (1981-1984)",N
dr18277,English (scotch) broom biocontrol,N
dr834,Reef Life Survey Images,Y
dr15936,"Seagrass baseline survey for Orman Reef, Torres Strait, 2017",N
dr23126,Seabird observations from the Australasian Antarctic Expedition (AAE) 2013-2014,N
dr7440,"Western Australian Museum, Marine Invertebrate Specimens, Ningaloo Reef - Northwest Cape, Northwest Australia, 1952-2004",N
dr23244,"Abundance and distribution of coastal, inshore zooplankton in the Huon Estuary and D'Entrecasteaux Channel, Tasmania, Australia (2004-2005)",N
dr23119,"Diversity and abundance of mesopelagic fishes along 110E, south-east Indian Ocean for the 2nd Indian Ocean Expedition (IIOE-2). RV Investigator voyage IN2019_V03 (2019)",N
dr149,AAD Benthic Sampling Database,N
dr2696,Koala Count,Y
dr21986,Tasmanian Seed Conservation Centre,N
dr23113,"Pelagic thaliaceans samples from bongo nets near Stradbroke Island, East Australian Current,Tasman Sea (2019-2021)",N
dr1008,The Great Koala Count South Australia,Y
dr16237,RMT Trawl catch from the 1992/93 V6 KROCK voyage,N
dr9941,"IMOS - AATAMS Facility - Tracking of Short-tailed shearwaters, Southern Ocean, Australia (2010 - 2012)",N
dr87,"Elephant Seal Sightings, Heard Island",N
dr728,Records of the Tasmanian Seed Conservation Centre,N
dr14332,Central Coast Waterwatch,Y
dr9962,"Seabird observations during long-line fisheries operations in waters south of Tasmania, Australia, 1996-1999",N
dr15770,Birdos along the Greenway,Y
dr8129,HerpMapper,N
dr699,"Mycology Collection Catalogue, Royal North Shore Hospital",N
dr20597,NE NSW Grey-headed Flying-fox Habitat Restoration Project,N
dr4621,Great Eastern Ranges - Slopes to Summit,Y
dr23188,"Growth rates of Fairy prion (Pachyptila turtur) and Common diving petrel (Pelecanoides urinatrix) chicks, Kanowna Island, Bass Strait, Australia (2017-2020)",N
dr15918,"NT Alligator Rivers Region Bird Ground Count, Northern Territory, Australia (1981-1983)",N
dr16647,"Restoration of String Kelp (Macrocystis pyrifera) habitat on Tasmania's east and south coasts: fish, invertebrate and algae counts, Australia (1998-2002)",N
dr16252,Further investigations of the effects of the Nella Dan oil spill 1988/94,N
dr15914,"NESP MBH A1 Euryhaline Elasmobranchs Fishing Database, Australia (2011-2019)",N
dr708,Hermatypic Corals of Western Australia,N
dr931,NatureMap Calcrete Survey,N
dr9904,"Australian Institute of Marine Science (AIMS) - CReefs Ningaloo Reef Biodiversity Expedition, Australia (2008 - 2010)",N
dr17504,"Annelids of the eastern Australian abyss collected by the 2017 RV Investigator voyage IN2017_V03, Australia (2017)",N
dr7815,Kimberley Islands Biodiversity Survey (Mammals),N
dr9939,"Euphausiid assemblages of the oceanographically complex north-west marine bioregion of Australia, (2010)",N
dr18777,"Seabird observations on the RV Falkor, Voyage FK201228, Coral Sea, Australia (2020)",N
dr6463,Great Koala Count 2,Y
dr7428,"CSIRO, Cruise SS200001, Marine Biodiversity, South and Southeast Australia, 2001",N
dr4672,MangroveWatch,Y
dr20943,"Koala Mapping Mackay, Whitsundays & Central Queensland Areas",Y
dr16453,Paterson's curse and Viper's bugloss biocontrol,Y
dr16818,"Torres Strait Seagrass Mapping Consolidation  - intertidal and subtidal  data (JCU), Australia",N
dr355,Kangawalla Bird Sightings,Y
dr9905,"Australian Institute of Marine Science (AIMS) - Lizard Island Reef Biodiversity Expedition, Queensland, Australia (2008 - 2009)",N
dr17834,"Southern Surveyor Voyage SS 05/95 prawn survey in the Gulf of Carpentaria, Australia (Jun 1995)",N
dr23879,"Tasmanian seamount Hill U: benthic imagery and annotations from a towed camera survey on RV Investigator voyage IN2018_V06, Tasmania, Australia  (2018)",N
dr13823,OWAD Environment detection dogs Koala records,N
dr9906,"Australian Institute of Marine Science (AIMS) - Summer planktonic communities of North West Cape, Western Australia (1997 - 2002)",N
dr3147,Tweed Koala Sightings,Y
dr723,ANIC Plume Moths,Y
dr896,Plume moths - ANIC,N
dr7978,Charles Darwin University Dragonfly Observations,N
dr9920,CSIRO Survey TT200801 - ROV Jason cruise tn228: South and East of Tasmania,N
dr7454,"CSIRO, Cruise SS199701, Marine Biological Survey, South Tasmania, Southeast Australia, 1997",N
dr17493,Sea Slug Survey Gold Coast,Y
dr741,Records from the South Australian Seed Conservation Centre,N
dr9921,"CSIRO, Cruise SS200507, Benthic Biodiversity, Western Australia, 2005",N
dr22186,Edith Cowan University - Robert Brown Herbarium,N
dr18292,Preventing extinction for New England endemic plants,N
dr7457,"CSIRO, Cruise SS199101, Marine Biology Data, Western Australia, 1991",N
dr417,Weeds Australia,N
dr16232,RMT Trawl catch from the 1990/91 V6 AAMBER2 voyage,N
dr19631,"Krill along the 110E meridian: Oceanographic influences on assemblages in the eastern Indian Ocean, RV Investigator voyage IN2019_V03 (2019)",N
dr96,Cetacean Sightings Survey and Southern Ocean cetacean program,N
dr17507,"Survey of the Breeding Seabirds and Migrating Shorebirds of the Houtman Abrolhos, Western Australia (1991-1993, 1999 and 2006)",N
dr15908,"Killer whale (Orcinus orca) interactions with blue-eye trevalla (Hyperoglyphe antarctica) longline fisheries , Australia and Amsterdam/St. Paul Islands (2010-2016)",N
dr142,RMT Trawl catch from 1985/86 V1 ADBEX III voyage,N
dr23116,Historic seabird observations around New Zealand coastal waters and the south-western Pacific by Neil Cheshire (1971-1974),N
dr7814,Kimberley Islands Biodiversity Survey (Birds),N
dr14466,Sherwood Arboretum Botanical Collection Dataset,N
dr534,Richard Hartland,Y
dr745,Records of the Victorian Conservation Seedbank,N
dr16248,Foraging zones of Macaroni Penguins breeding at Heard Island 2000,N
dr9957,"RV Investigator Voyage IN2017_V02 Seabird Observations, Australia (2017)",N
dr18779,"Stereo BRUVS survey of the Money Shoal and Pillar Bank, Arafura Marine Park, Australia (2020)",N
dr16265,Zooplankton Abundance_Umbrella net_sea ice zone 2007/12,N
dr18778,"Seabird observations on the RV Falkor, Voyage FK210206, Coral Sea, Australia (2021)",N
dr23197,"Species assemblages, biomass and regional habitat characterisation across the offshore Kimberley region, Australia (2015)",N
dr693,"Species at 290 Leppitt Road, Upper Beaconsfield",Y
dr431,What bug is that,N
dr23224,Australian Institute of Marine Science - Bioresources Library,N
dr23237,"Invertebrates of the Recherche Archipelago , Western Australia (2002)",N
dr15940,"Venomous Jellyfish Database (Stings and Specimen) (NESP TWQ 2.2.3, CSIRO)",N
dr23144,"Flinders and Tasman Fracture Australian Marine Parks Pilot Survey- Shelf Baited Underwater Video (BRUV) component, Australia  (2012-2015)",N
dr23209,"Elasmobranch bycatch in the demersal prawn trawl fishery in the Gulf of Papua, Papua New Guinea (2014-2015)",N
dr16645,"A detailed benthic faunal and introduced marine species survey of Port Davey, Bathurst Channel and Bathurst Harbour in SW Tasmania, Australia (2007)",N
dr23190,"Seabird colony populations on Tasmanian islands, Australia",N
dr2643,The Model Plant Expedition,Y
dr21713,Sunshine Coast Council Habitat Restoration,Composite
dr9913,"Australian Institute of Marine Science (AIMS)  CReefs: Heron Island Biodiversity Expedition, Australia (2008 - 2010)",N
dr19072,Wildlife Road Tolls,Composite
dr703,"Images of Flora and Fauna of 290 Leppitt Rd, Upper Beaconsfield",Y
dr1965,Metallesthes specimens inspected and supporting information published in Metallesthes revision,N
dr23174,Diving into the vertical dimension of elasmobranch movement ecology (2000-2019),N
dr20600,NSW Flying-Fox Habitat Restoration Program,N
dr23140,"Orman Reef Seagrass Survey, Torres Strait, September 2019 (TropWATER, James Cook University)",N
dr428,Global Invasive Species Database,N
dr6847,Milwaukee Public Museum- Bees Expedition 1,Y
dr488,RMT Trawl catch from the 1982/83 V2 ADBEX I voyage,N
dr727,Records of the Brisbane Botanic Gardens Conservation Seedbank,N
dr674,Port Phillip Marine Life,N
dr7200,Greendale Creek and Curl Curl Lagoon Bird Survey 2017 to 2019,N
dr22371,Zoos Victoria Moth Tracker,Y
dr18276,Bridal creeper biocontrol,N
dr477,"Diatom and foraminiferal samples from surficial sediments of Prydz Bay, Antarctica",N
dr16239,RMT Trawl catch from the 2005/06 V3 BROKE-West voyage - Zooplankton,N
dr405,Sea shells of New South Wales,N
dr5416,The Living Murray Fish data,N
dr15923,North Western Australia Mesopredators,N
dr15925,"Northern Barrier Marine Life of the Great Barrier Reef, Australia",N
dr5372,Ephydridae: Shore Flies of Hawai'i XVI,Y
dr2349,Scaptomyza (Diptera:Drosophilidae) of Hawai'i III,Y
dr7432,"Western Australian Museum, Crustacea Specimens, Ningaloo Reef - Northwest Cape, Northwest Australia, 1920-2004",N
dr18249,Spear thistle biocontrol,N
dr16257,Diversity and evolution of Australian Antarctic sea spiders: Understanding species diversification and distribution patterns,N
dr705,Flora of Westgate Park - Photos from Lyn Allison,Y
dr16231,Spring Phytoplankton Assemblages in the Southern Ocean Between Australia and Antarctica (CLIVAR-SR3),N
dr17882,Yass Region - Upper Murrumbidgee Waterwatch,Y
dr948,Lake Muir Wetlands,N
dr5325,Ephydridae: Shore Flies of Hawai'i XIII,Y
dr14183,Manning & Great Lakes - NSW Waterwatch,Y
dr23134,"Seagrass coverage of Pelican Lagoon, Kangaroo Island, South Australia (2013)",N
dr4577,ACT BioBlitz,Y
dr1873,True Flies of Hawai'i (Lispocephala) II,Y
dr16115,Bangalow Koalas,Y
dr18172,"Counts of breeding seabirds and herons at Ashmore Reef and Cartier Island  off the Kimberley coast, Australia (1949-2014)",N
dr1765,Scarab Beetles of Hawai'i,Y
dr1675,Hawaiian Longhorn Beetles (Cerambycidae),Y
dr2347,Scaptomyza (Diptera:Drosophilidae) of Hawai'i I,Y
dr5319,Ephydridae: Shore Flies of Hawai'i VIII,Y
dr2350,Scaptomyza (Diptera:Drosophilidae) of Hawai'i V,Y
dr17780,Mepimbat tedul proujek: Indigenous knowledge of freshwater turtle species occurrence in the South East Arnhem Land Indigenous Protected Area,Composite
dr19104,PAW Nestbox Monitoring,Composite
dr1877,True Flies of Hawai'i (Lispocephala) I,Y
dr2600,Dolichopodidae: The Long-Legged Flies of Hawai'i VIII,Y
dr2604,Dolichopodidae: The Long-Legged Flies of Hawai'i VI,Y
dr16240,RMT Trawl catch from the 1986/87 V7 AAMBER voyage,N
dr2295,Crambidae: The Grass Moth Family I,Y
dr138,Electron Micrograph Database - Terrestrial and Limnetic Specimens,N
dr4509,Canacidae: Beach Flies of Hawai'i VII,Y
dr5456,Drosophilidae: Haleakala III,Y
dr9095,Team Turtle CQ,Y
dr16260,Morphological Responses of Abatus heart urchins to Sewage Contamination at Davis Station 2012/13,N
dr440,ALA website image uploads,Composite
dr6939,Milwaukee Public Museum Bees Expedition 2,Y
dr4979,Asteiidae Flies of Hawai'i,Y
dr2383,SharkBase,N
dr23163,"FRDC Deep reefs BRUVS data, Australia (2014 - 2015)",N
dr4652,Redland City Council Citizen Science Portal,Y
dr7949,Wingecarribee Shire Council Macroinvertebrate Sampling,N
dr2147,"Targeted survey of Spiny Rush, Brisbane Ranges National Park, 2001",N
dr2605,Dolichopodidae: The Long-Legged Flies of Hawai'i VII,Y
dr485,Phytoplankton samples - 2005/06 V3 BROKE-West,N
dr19539,Bulimba Creek Catchment Nest Box Monitoring project,Composite
dr16910,"Dive field surveys of site impacted by dredging, Onslow, Western Australia (2013-2015)",N
dr7451,"Western Australian Museum, Marine Mollusca Specimens, Ningaloo Reef - Northwest Cape, Northwest Australia, 1953-2002",N
dr23186,"Visual detections of Snubfin Dolphins (Orcaella heinsohni) in the Kimberley Region, Western Australia (2004-2020)",N
dr16247,10 year trend of levels of organochlorine pollutants in Antarctic seabirds 2003/04,N
dr5461,Drosophilidae: Haleakala IV,Y
dr14477,Annual  community koala surveys North Stradbroke Island Townships,Y
dr1872,Sphecidae: Thread-Waisted Wasps of Hawai'i I,Y
dr1874,True Flies of Hawai'i (Lispocephala) III,Y
dr5091,Chironomids of Hawai'i III,Y
dr738,"Marrickville Council, Tempe Birdos",Y
dr2602,Dolichopodidae: The Long-Legged Flies of Hawai'i III,Y
dr7438,"CSIRO, Australian National Algae Culture Collection (ANACC), Global, 1949-2008",N
dr5530,Drosophila: Non-Hawaii Invasives II,Y
dr16255,Soft sediment assemblages at Casey Station: Brown Bay Grid - samples taken along a pollution gradient.,N
dr2131,Hawaiian Drosophilidae: Modified Mouthparts III,Y
dr2986,Agromyzidae: Leaf-miner Flies of Hawai'i I,Y
dr2351,Scaptomyza (Diptera:Drosophilidae) of Hawai'i IV,Y
dr2354,Scaptomyza (Diptera:Drosophilidae) of Hawai'i II,Y
dr5458,Drosophilidae: Haleakala I,Y
dr16008,West Australian Marine Science Institute (WAMSI) 2 KMRP 1.1.2 Key Ecological Processes - Herbivory,N
dr2132,Hawaiian Drosophilidae: Modified Mouthparts V,Y
dr2134,Hawaiian Drosophilidae: Modified Mouthparts VI,Y
dr2689,Hawaiian Drosophilidae: Ciliated Tarsus Subgroup II,Y
dr23164,"Flinders Australian Marine Park BRUVs, Australia (2012)",N
dr4504,Canacidae: Beach Flies of Hawai'i I,Y
dr9956,"RV Investigator Voyage IN2017_T01 Seabird Observations, Australia (2017)",N
dr2129,Hawaiian Drosophilidae: Modified Mouthparts II,Y
dr7446,Spotted Handfish (Brachionichthys hirsutus) - GPS Underwater Visual Census - 2014-2018 repeated population surveys,N
dr2186,Geometridae: Geometer Moths of Hawai'i II,Y
dr933,Carnarvon Basin wetland survey,N
dr23150,"Surveys of giant kelp (Macrocystis pyrifera) areal coverage on the South and East Coast of Tasmania, aggregated 1950-2019",N
dr2598,Dolichopodidae: The Long-Legged Flies of Hawai'i II,Y
dr4898,The Gall Gnats of Hawai'i (Cecidomyiidae) II,Y
dr1676,Darkling Beetles of Hawai'i (Tenebrionidae) I,Y
dr6598,Drosophilidae Leaf Breeders - Spoonfoot VI,Y
dr5173,Ceratopogonidae: Biting Midges of Hawai'i I,Y
dr4501,Canacidae: Beach Flies of Hawai'i II,Y
dr16455,Wing images of Australian dragonflies,N
dr4508,Canacidae: Beach Flies of Hawai'i VI,Y
dr2570,Tortrix Moths of Hawai'i (Tortricidae) II,Y
dr5460,Drosophilidae: Haleakala II,Y
dr2687,Hawaiian Drosophilidae: Bristle-foot Subgroup II,Y
dr481,"King penguin census data, Gadget Gully, Macquarie Island (1993-2008)",N
dr1683,Pinao'ula: Dragonflies & damselflies of Hawai'i,Y
dr2599,Dolichopodidae: The Long-Legged Flies of Hawai'i V,Y
dr2688,Hawaiian Drosophilidae: Ciliated Tarsus Subgroup I,Y
dr148,Diatoms from the Vestfold Hills Lakes,N
dr2597,Dolichopodidae: The Long-Legged Flies of Hawai'i I,Y
dr5318,Ephydridae: Shore Flies of Hawai'i VII,Y
dr2596,Dolichopodidae: The Long-Legged Flies of Hawai'i IX,Y
dr5268,Ephydridae: Shore Flies of Hawai'i II,Y
dr9940,"Growth and age across range extension region of Centrostephanus rodgersii in eastern Tasmania and morphometric comparison of urchins inhabiting kelp versus barrens habitats, Australia (2004-2005)",N
dr2187,Geometridae: Geometer Moths of Hawai'i III,Y
dr21988,George Brown Darwin Botanic Gardens Seed Bank,N
dr6768,Hyposmocoma I,Y
dr1757,Smithsonian US Herbarium - Croton Specimens,Y
dr1849,Smithsonian US Herbarium - Euphorbiaceae Galore!,Y
dr11663,"DNA metabarcoding assays reveal a diverse prey assemblage for Mobula rays in the Bohol Sea, Philippines",N
dr5272,Ephydridae: Shore Flies of Hawai'i IV,Y
dr23158,"Bongo net samples - RV Investigator voyage IN2017_V04, Tasman Sea (2017)",N
dr5529,Drosophila: Non-Hawaii Invasives I,Y
dr2490,Owlet Moths of Hawai'i (Noctuidae) I,Y
dr23189,North West Shelf Joint Environmental Management Study - historic data (1895-1994),N
dr16253,Stable isotope data from marine sediment and invertebrates from Davis Station 2009/10,N
dr6740,Hawaiian Hymenoptera I (Unsorted Hymenoptera),Y
dr1764,Vespidae: Wasps of Hawai'i I,Y
dr20483,Superb City Wrens,Y
dr6451,Scelionidae,Y
dr6770,Hyposmocoma VI,Y
dr17836,"WAMSI Node 3.2.1 - Diversity, abundance and habitat utilisation of sharks and rays, Ningaloo Marine Park, Western Australia (2007-2009) - longline data",N
dr5200,Chloropidae: The Grass Flies of Hawai'i I,Y
dr2130,Hawaiian Drosophilidae: Modified Mouthparts,Y
dr1984,Incidental Livistona lanuginosa records,N
dr2603,Dolichopodidae: The Long-Legged Flies of Hawai'i IV,Y
dr91,Antarctic Marine Protists species checklist,N
dr6448,Drosophila: Nudidrosophila,Y
dr6746,Hawaiian Pyraloidea II,Y
dr5271,Ephydridae: Shore Flies of Hawai'i III,Y
dr4506,Canacidae: Beach Flies of Hawai'i IV,Y
dr5274,Ephydridae: Shore Flies of Hawai'i VI,Y
dr2188,Geometridae: Geometer Moths of Hawai'i IV,Y
dr9914,"Australian Institute of Marine Science (AIMS)  Zooplankton community composition of Darwin Harbour, Northern Territory. Australia (2002 - 2004)",N
dr23133,"Seagrass data, Western Australia (2006-2009)",N
dr150,RMT Trawl catch from the 2003/04 V3 BROKE-West voyage,N
dr8132,Ecosystem biomonitoring with eDNA: metabarcoding across the tree of life in a tropical marine environment,N
dr6681,Hawaiian Hemipterans I (Issidae and Others),Y
dr2569,Tortrix Moths of Hawai'i (Tortricidae) I,Y
dr2293,Crambidae: The Grass Moth Family II,Y
dr2133,Hawaiian Drosophilidae: Modified Mouthparts IV,Y
dr160,"Leopard Seal census, Heard Island 1987/88",N
dr16236,RMT Trawl catch from the 2005/06 V3 BROKE-West voyage - Fish,N
dr2686,Hawaiian Drosophilidae: Bristle-foot Subgroup I,Y
dr4505,Canacidae: Beach Flies of Hawai'i III,Y
dr5533,Drosophila: Non-Hawaii Invasives V,Y
dr4899,Parasitic Encyrtidae Wasps of Hawai'i I,Y
dr4980,Eulophidae of Hawai'i II,Y
dr5532,Drosophila: Non-Hawaii Invasives IV,Y
dr1680,Darkling Beetles of Hawai'i (Tenebrionidae) II,Y
dr5531,Drosophila: Non-Hawaii Invasives III,Y
dr5090,Chironomids of Hawai'i II,Y
dr6595,Drosophilidae Leaf Breeders - Spoonfoot II,Y
dr4507,Canacidae: Beach Flies of Hawai'i V,Y
dr673,Quoll sightings register for Nth QLD,N
dr5467,Tracking Australia - arid wildlife track-based monitoring ,N
dr2988,Agromyzidae: Leaf-miner Flies of Hawai'i III,Y
dr5202,Chloropidae: The Grass Flies of Hawai'i III,Y
dr6747,Hawaiian Pyraloidea IV,Y
dr16251,Systematic list of benthic invertebrates identified in the Heard Island and McDonald Islands region from 129 beam trawl or epibenthic sled samples 2003/08,N
dr5201,Chloropidae: The Grass Flies of Hawai'i II,Y
dr6741,Hawaiian Hymenoptera II (Unsorted Hymenoptera),Y
dr1985,Smithsonian US Herbarium - Euphorbiaceae Galore! Set 3,Y
dr2041,Smithsonian US Herbarium - Euphorbiaceae Galore! Set 4,Y
dr2165,Smithsonian Institution - Euphorbiaceae Galore Set 5!,Y
dr2191,Smithsonian Institution - Euphorbiaceae Galore Set 6!,Y
dr2275,Smithsonian Institution - Euphorbiaceae Galore Set 7!,Y
dr2284,Smithsonian Institution -  Euphorbiaceae Galore! Set 8  (ALA),N
dr2335,Smithsonian Institution -  Euphorbiaceae Galore! Set 9,N
dr2337,Smithsonian Institution -  Euphorbiaceae Galore! Set 10,N
dr2364,Smithsonian Institution -  Euphorbiaceae Galore! Set 11,N
dr2387,Smithsonian Institution -  Euphorbiaceae Galore! Set 12,N
dr2437,Smithsonian Institution -  Euphorbiaceae Galore! Set 13,N
dr6593,Drosophilidae Leaf Breeders - Spoonfoot I,Y
dr19057,Brisbane’s Big Butterfly Count,Y
dr16267,Patterns of population genetic structure among Australian and South Pacific humpback whales 2007/11,N
dr6538,Milwaukee Public Museum Crayfish Expedition 3,Y
dr6539,Milwaukee Public Museum Crayfish Expedition 4,Y
dr2494,Owlet Moths of Hawai'i (Noctuidae) IV,Y
dr8798,Wairambar Rainforest Species List,N
dr23211,"Stereo BRUV sampling of Freycinet  Australian Marine Park and nearby Trap reef and Governor Island Marine Reserve, Tasmania, Australia (2016)",N
dr6594,Drosophilidae Leaf Breeders - Spoonfoot III,Y
dr1875,True Flies of Hawai'i (Lispocephala) IV,Y
dr19073,B4C Road Kill Map,Composite
dr14186,Central West - NSW Waterwatch,Y
dr5171,Ceratopogonidae: Biting Midges of Hawai'i II,Y
dr6679,Tineid Moths of Hawaii (Tineidae),Y
dr4897,Parasitic Encyrtidae Wasps of Hawai'i II,Y
dr20599,Northern Tablelands Koala Habitat Restoration Project,N
dr6682,Hawaiian Hemipterans II (Unsorted Hemiptera),Y
dr2492,Owlet Moths of Hawai'i (Noctuidae) II,Y
dr16261,Presence of Disease in the Penguins and Skuas of Macquarie Island 2006,N
dr23827,"Ecological surveys using BRUVS within the Joseph Bonaparte Gulf Marine Park, Northern Territory, Australia (2020-2021)",N
dr16243,Gross body measurements of Laternula elliptica collected from sites adjacent to Casey Station 2014/15,N
dr23221,CMAR Australian and New Zealand marine fish otoliths collection,N
dr19044,Sunshine Coast's Big Butterfly Count,Y
dr16227,Fish catch from 1996/97 Voyage 1 WASTE (WOCE Antarctic Southern Transect Expedition),N
dr14986,Lost fungi Australia,Y
dr473,Antarctic Fur Seal Populations on Heard Island Summer 1987-1988,N
dr6597,Drosophilidae Leaf Breeders - Spoonfoot V,Y
dr6596,Drosophilidae Leaf Breeders - Spoonfoot IV,Y
dr23184,"Coccolithophore assemblages of a 9,000 year old marine sediment core from a climate hotspot in Tasmania, southeast Australia (2018)",N
dr13290,Robert Read Observations,Y
dr6766,Hyposmocoma III,Y
dr2987,Agromyzidae: Leaf-miner Flies of Hawai'i II,Y
dr5273,Ephydridae: Shore Flies of Hawai'i V,Y
dr5326,Ephydridae: Shore Flies of Hawai'i XIV,Y
dr6435,DragonflyPix.com Australian observations,Composite
dr6745,Hawaiian Pyraloidea III,Y
dr17877,"RV Investigator Voyage IN2020_V01 Seabird Observations, Broken Ridge region, Indian Ocean (2020)",N
dr11049,Martin Butterfield Mallacoota Observations,Y
dr15893,Ecophysiology of three habitat-forming seaweeds across a depth and latitudinal gradient in southeastern Australia (2010-2012),N
dr5371,Ephydridae: Shore Flies of Hawai'i XV,Y
